Id;Label;Sex;Value
87452309;Name;1;10
147148838;Name;2;10
15037028;Name;2;10
117544658;Name;2;11
28520684;Name;2;12
128190985;Name;1;10
148290184;Name;1;18
104845480;Name;1;98
93742094;Name;2;73
156665490;Name;2;71
20936605;Name;2;25
52356707;Name;2;28
248368066;Name;1;32
47572503;Name;1;37
15579449;Name;1;41
20320607;Name;2;46
130962517;Name;2;57
48848772;Name;2;52
5738252;Name;2;64
19978588;Name;1;69
14835385;Name;1;78
122324701;Name;1;15
74974949;Name;2;23
194525123;Name;2;29
349126521;Name;2;11
15254157;Name;2;12
105247280;Name;1;13
1451621;Name;1;14
28303997;Name;1;15
168635321;Name;2;16
29495262;Name;2;17
14550031;Name;2;19
16440349;Name;2;10
76995357;Name;1;10
269321619;Name;1;10
10459922;Name;1;10
232378462;Name;2;10
54134072;Name;2;10
261287251;Name;2;11
96118569;Name;2;12
27031430;Name;1;10
16202641;Name;1;18
37640998;Name;1;98
19601010;Name;2;73
14066952;Name;2;71
222959867;Name;2;25
66299444;Name;2;28
273912398;Name;1;32
28073184;Name;1;37
14667708;Name;1;41
358037978;Name;2;46
1441291;Name;2;57
28303391;Name;2;52
14304241;Name;2;64
93046951;Name;1;69
190583158;Name;1;78
48060743;Name;1;15
25300643;Name;2;23
37414141;Name;2;29
33174720;Name;2;11
973597436;Name;2;12
802070594;Name;1;13
87000390;Name;1;14
221311019;Name;1;15
303852098;Name;2;16
346035520;Name;2;17
249121666;Name;2;19
257396357;Name;2;10
15248126;Name;1;10
249867294;Name;1;10
16527372;Name;1;10
21025876;Name;2;10
120389940;Name;2;10
583566955;Name;2;11
119361818;Name;2;12
492361533;Name;1;10
54579337;Name;1;18
495796774;Name;1;98
438204999;Name;2;73
226887947;Name;2;71
331653369;Name;2;25
26120477;Name;2;28
120387031;Name;1;32
177209936;Name;1;37
154451419;Name;1;41
60139812;Name;2;46
54348165;Name;2;57
244437560;Name;2;52
254235908;Name;2;64
110649140;Name;1;69
20668131;Name;1;78
207424543;Name;1;15
39723677;Name;2;23
14606739;Name;2;29
14076784;Name;2;11
46068197;Name;2;12
74719919;Name;1;13
17894832;Name;1;14
16872274;Name;1;15
51051210;Name;2;16
50258782;Name;2;17
136242086;Name;2;19
85586000;Name;2;10
46143101;Name;1;10
17988803;Name;1;10
246822221;Name;1;10
243611847;Name;2;10
190282545;Name;2;10
406857408;Name;2;11
99055479;Name;2;12
18504179;Name;1;10
293907619;Name;1;18
23737761;Name;1;98
87783980;Name;2;73
98657700;Name;2;71
252982376;Name;2;25
625373236;Name;2;28
634553;Name;1;32
42050195;Name;1;37
18993881;Name;1;41
239823564;Name;2;46
16143285;Name;2;57
255050308;Name;2;52
41833625;Name;2;64
76357000;Name;1;69
247013838;Name;1;78
311336059;Name;1;15
102321729;Name;2;23
274432735;Name;2;29
242687013;Name;2;11
17780592;Name;2;12
95713774;Name;1;13
286566249;Name;1;14
81117720;Name;1;15
168756782;Name;2;16
140913039;Name;2;17
7490172;Name;2;19
20471650;Name;2;10
23424743;Name;1;10
49077590;Name;1;10
22277025;Name;1;10
273890006;Name;2;10
102680887;Name;2;10
9337402;Name;2;11
19404548;Name;2;12
490440078;Name;1;10
481732186;Name;1;18
5825522;Name;1;98
73107124;Name;2;73
377870647;Name;2;71
15437412;Name;2;25
1106912257;Name;2;28
221774429;Name;1;32
6811732;Name;1;37
226922218;Name;1;41
12001132;Name;2;46
215334954;Name;2;57
16325733;Name;2;52
95307997;Name;2;64
61194458;Name;1;69
17053971;Name;1;78
15446820;Name;1;15
15479167;Name;2;23
2532981;Name;2;29
11414292;Name;2;11
16978165;Name;2;12
8835562;Name;1;13
14953868;Name;1;14
11002202;Name;1;15
53039449;Name;2;16
61231929;Name;2;17
12398692;Name;2;19
32989552;Name;2;10
67546984;Name;1;10
6471582;Name;1;10
102930967;Name;1;10
24719708;Name;2;10
116523372;Name;2;10
7278202;Name;2;11
2801571;Name;2;12
14113017;Name;1;10
14352473;Name;1;18
6316162;Name;1;98
17128025;Name;2;73
65072529;Name;2;71
107833271;Name;2;25
17920003;Name;2;28
255414937;Name;1;32
249637750;Name;1;37
260765103;Name;1;41
14393888;Name;2;46
242784765;Name;2;57
97068968;Name;2;52
31134998;Name;2;64
71827668;Name;1;69
100529876;Name;1;78
401266928;Name;1;15
327334911;Name;2;23
183216295;Name;2;29
394716520;Name;2;11
325440556;Name;2;12
111044500;Name;1;13
35465127;Name;1;14
307954136;Name;1;15
126733456;Name;2;16
297600093;Name;2;17
438312885;Name;2;19
18805582;Name;2;10
247799575;Name;1;10
518900714;Name;1;10
30179035;Name;1;10
123554419;Name;2;10
26974807;Name;2;10
618289634;Name;2;11
238090521;Name;2;12
632814256;Name;1;10
994761;Name;1;18
110724276;Name;1;98
8692982;Name;2;73
14451937;Name;2;71
14162755;Name;2;25
16407746;Name;2;28
72291402;Name;1;32
14947637;Name;1;37
15511919;Name;1;41
14233631;Name;2;46
7278212;Name;2;57
63723;Name;2;52
21846249;Name;2;64
57441756;Name;1;69
139013475;Name;1;78
15881294;Name;1;15
13250242;Name;2;23
236111927;Name;2;29
143654480;Name;2;11
394050729;Name;2;12
127263919;Name;1;13
248261459;Name;1;14
36439056;Name;1;15
90841202;Name;2;16
129595560;Name;2;17
118049068;Name;2;19
109525164;Name;2;10
553095457;Name;1;10
440258035;Name;1;10
235090590;Name;1;10
153085691;Name;2;10
617713;Name;2;10
4308031;Name;2;11
107195255;Name;2;12
80293066;Name;1;10
404228099;Name;1;18
8992222;Name;1;98
239292996;Name;2;73
557773236;Name;2;71
305780639;Name;2;25
327092668;Name;2;28
14343362;Name;1;32
619225869;Name;1;37
383770999;Name;1;41
264609534;Name;2;46
158114837;Name;2;57
464671353;Name;2;52
257513916;Name;2;64
6886372;Name;1;69
357821823;Name;1;78
37942405;Name;1;15
91886723;Name;2;23
664353;Name;2;29
282087400;Name;2;11
42078419;Name;2;12
15720571;Name;1;13
72531400;Name;1;14
622657841;Name;1;15
36023079;Name;2;16
33452745;Name;2;17
331470986;Name;2;19
266290453;Name;2;10
140094696;Name;1;10
221683644;Name;1;10
106849433;Name;1;10
128251960;Name;2;10
240271911;Name;2;10
174194582;Name;2;11
124121334;Name;2;12
123215346;Name;1;10
201629626;Name;1;18
31109096;Name;1;98
92480047;Name;2;73
134823343;Name;2;71
49700304;Name;2;25
17439881;Name;2;28
20743931;Name;1;32
17672932;Name;1;37
86537822;Name;1;41
6995022;Name;2;46
80612409;Name;2;57
18445821;Name;2;52
72862385;Name;2;64
8529272;Name;1;69
81122631;Name;1;78
59412103;Name;1;15
242009819;Name;2;23
149051496;Name;2;29
280610832;Name;2;11
529155080;Name;2;12
256179421;Name;1;13
234449889;Name;1;14
34541246;Name;1;15
21641783;Name;2;16
295645137;Name;2;17
95666436;Name;2;19
80301148;Name;2;10
395621525;Name;1;10
213640887;Name;1;10
152331425;Name;1;10
292556334;Name;2;10
272329503;Name;2;10
225708069;Name;2;11
30884588;Name;2;12
118740808;Name;1;10
204505574;Name;1;18
378492993;Name;1;98
60432492;Name;2;73
366732369;Name;2;71
403999490;Name;2;25
463681138;Name;2;28
344253817;Name;1;32
429258515;Name;1;37
315985921;Name;1;41
172798076;Name;2;46
112973424;Name;2;57
49983;Name;2;52
103543725;Name;2;64
213750911;Name;1;69
156573972;Name;1;78
476990448;Name;1;15
516577367;Name;2;23
231889165;Name;2;29
20973635;Name;2;11
423299645;Name;2;12
125436078;Name;1;13
37718215;Name;1;14
8025622;Name;1;15
404016558;Name;2;16
229596850;Name;2;17
103777902;Name;2;19
37920535;Name;2;10
292998487;Name;1;10
46393157;Name;1;10
282642390;Name;1;10
165091716;Name;2;10
278406469;Name;2;10
143873104;Name;2;11
253464930;Name;2;12
244976155;Name;1;10
33512459;Name;1;18
268663149;Name;1;98
272820864;Name;2;73
7065962;Name;2;71
194506980;Name;2;25
239404368;Name;2;28
28859181;Name;1;32
20989378;Name;1;37
36623123;Name;1;41
70404511;Name;2;46
45810299;Name;2;57
79809148;Name;2;52
23404344;Name;2;64
110813234;Name;1;69
139711188;Name;1;78
78704267;Name;1;15
187287429;Name;2;23
242261044;Name;2;29
14351248;Name;2;11
121532349;Name;2;12
19020859;Name;1;13
194513110;Name;1;14
54542064;Name;1;15
191483453;Name;2;16
76470117;Name;2;17
122463287;Name;2;19
106117016;Name;2;10
80269659;Name;1;10
213709722;Name;1;10
38676010;Name;1;10
16206544;Name;2;10
42696378;Name;2;10
85929910;Name;2;11
198817549;Name;2;12
326435467;Name;1;10
559626922;Name;1;18
340322408;Name;1;98
31757157;Name;2;73
521214214;Name;2;71
520427798;Name;2;25
495267839;Name;2;28
227291378;Name;1;32
482922799;Name;1;37
33267283;Name;1;41
495241139;Name;2;46
311880584;Name;2;57
106112290;Name;2;52
431002086;Name;2;64
391366931;Name;1;69
63437454;Name;1;78
59118576;Name;1;15
345962630;Name;2;23
59765778;Name;2;29
552862462;Name;2;11
47317557;Name;2;12
53531251;Name;1;13
51705725;Name;1;14
404682909;Name;1;15
395287005;Name;2;16
97077341;Name;2;17
195944951;Name;2;19
46691116;Name;2;10
326327581;Name;1;10
363104107;Name;1;10
153422889;Name;1;10
256259889;Name;2;10
97406672;Name;2;10
120185625;Name;2;11
54846483;Name;2;12
11583762;Name;1;10
203436627;Name;1;18
96584774;Name;1;98
18797006;Name;2;73
24048085;Name;2;71
34881762;Name;2;25
65286485;Name;2;28
327267975;Name;1;32
15278897;Name;1;37
17717643;Name;1;41
587305823;Name;2;46
29014730;Name;2;57
116471435;Name;2;52
135154291;Name;2;64
80909887;Name;1;69
168118507;Name;1;78
476659520;Name;1;15
156221927;Name;2;23
134926707;Name;2;29
24983935;Name;2;11
720549679;Name;2;12
47874979;Name;1;13
572973545;Name;1;14
536337601;Name;1;15
19006260;Name;2;16
11690462;Name;2;17
35034509;Name;2;19
548275303;Name;2;10
737078424;Name;1;10
252756953;Name;1;10
184502717;Name;1;10
611901816;Name;2;10
187631125;Name;2;10
23416569;Name;2;11
121117207;Name;2;12
35851688;Name;1;10
526486702;Name;1;18
14003172;Name;1;98
382498059;Name;2;73
144564415;Name;2;71
59428341;Name;2;25
137299537;Name;2;28
863033744;Name;1;32
1005819842;Name;1;37
953305735;Name;1;41
280508510;Name;2;46
317041717;Name;2;57
334719906;Name;2;52
312520229;Name;2;64
106705836;Name;1;69
89465629;Name;1;78
369052765;Name;1;15
311000816;Name;2;23
1008858955;Name;2;29
362631921;Name;2;11
149833175;Name;2;12
396581435;Name;1;13
799200900;Name;1;14
198077742;Name;1;15
921133596;Name;2;16
897565998;Name;2;17
573391759;Name;2;19
891347862;Name;2;10
119915036;Name;1;10
240374347;Name;1;10
822745981;Name;1;10
799785295;Name;2;10
25658497;Name;2;10
619870785;Name;2;11
314089397;Name;2;12
434894589;Name;1;10
554630496;Name;1;18
435098978;Name;1;98
95027825;Name;2;73
67173092;Name;2;71
286356580;Name;2;25
85590736;Name;2;28
925886778;Name;1;32
14639551;Name;1;37
1289633605;Name;1;41
1366982190;Name;2;46
1140408007;Name;2;57
267803587;Name;2;52
36342715;Name;2;64
395789742;Name;1;69
833143592;Name;1;78
283690023;Name;1;15
1252423189;Name;2;23
163901745;Name;2;29
17150632;Name;2;11
1172328414;Name;2;12
16807236;Name;1;13
131580370;Name;1;14
1088670674;Name;1;15
51999396;Name;2;16
76917282;Name;2;17
19728086;Name;2;19
843434418;Name;2;10
473714168;Name;1;10
421714582;Name;1;10
811581853;Name;1;10
188053186;Name;2;10
37905587;Name;2;10
380324042;Name;2;11
177085959;Name;2;12
330930920;Name;1;10
255891748;Name;1;18
988527175;Name;1;98
503161790;Name;2;73
329065629;Name;2;71
377630006;Name;2;25
1057452542;Name;2;28
520694018;Name;1;32
422244871;Name;1;37
296731350;Name;1;41
89017241;Name;2;46
122953100;Name;2;57
825781040;Name;2;52
946163000;Name;2;64
818936190;Name;1;69
473902462;Name;1;78
742838304;Name;1;15
92832518;Name;2;23
767704506;Name;2;29
331686288;Name;2;11
555068142;Name;2;12
338654596;Name;1;13
1324602025;Name;1;14
43899055;Name;1;15
131331824;Name;2;16
290708944;Name;2;17
377647073;Name;2;19
68122600;Name;2;10
320964549;Name;1;10
20319182;Name;1;10
322508749;Name;1;10
47320523;Name;2;10
331475231;Name;2;10
84548636;Name;2;11
36033715;Name;2;12
375008512;Name;1;10
393950599;Name;1;18
346066075;Name;1;98
214692112;Name;2;73
24857113;Name;2;71
286129057;Name;2;25
96337684;Name;2;28
130650189;Name;1;32
771391687;Name;1;37
311660524;Name;1;41
17948257;Name;2;46
318653903;Name;2;57
14727158;Name;2;52
776425646;Name;2;64
774500850;Name;1;69
737131106;Name;1;78
47928813;Name;1;15
52101350;Name;2;23
306089691;Name;2;29
76112152;Name;2;11
240623005;Name;2;12
29953570;Name;1;13
757631671;Name;1;14
94347411;Name;1;15
15830132;Name;2;16
253668792;Name;2;17
39588381;Name;2;19
58738913;Name;2;10
40656917;Name;1;10
318920716;Name;1;10
324967174;Name;1;10
334665987;Name;2;10
86095840;Name;2;10
276891088;Name;2;11
417245754;Name;2;12
234850385;Name;1;10
470230180;Name;1;18
16126428;Name;1;98
541855832;Name;2;73
557644415;Name;2;71
441222295;Name;2;25
558700516;Name;2;28
623073669;Name;1;32
41315190;Name;1;37
74219753;Name;1;41
494831942;Name;2;46
183240100;Name;2;57
507553196;Name;2;52
14648944;Name;2;64
289345739;Name;1;69
615174718;Name;1;78
583062186;Name;1;15
576358245;Name;2;23
521535391;Name;2;29
393453090;Name;2;11
125305621;Name;2;12
485929178;Name;1;13
193739893;Name;1;14
520863794;Name;1;15
327435251;Name;2;16
28092089;Name;2;17
705776353;Name;2;19
560279252;Name;2;10
380950441;Name;1;10
401434550;Name;1;10
165895040;Name;1;10
365656474;Name;2;10
365116011;Name;2;10
85016631;Name;2;11
320296933;Name;2;12
74517364;Name;1;10
981314605;Name;1;18
314556020;Name;1;98
1010690432;Name;2;73
65719940;Name;2;71
89395513;Name;2;25
68967218;Name;2;28
316091227;Name;1;32
629177411;Name;1;37
447357042;Name;1;41
1098493308;Name;2;46
224706569;Name;2;57
424345392;Name;2;52
987062509;Name;2;64
225805206;Name;1;69
243207960;Name;1;78
18983525;Name;1;15
15516583;Name;2;23
633997142;Name;2;29
121503950;Name;2;11
268159586;Name;2;12
456144946;Name;1;13
23515678;Name;1;14
39638557;Name;1;15
149511393;Name;2;16
255975966;Name;2;17
216459364;Name;2;19
15580436;Name;2;10
165375475;Name;1;10
167314972;Name;1;10
64670954;Name;1;10
333201785;Name;2;10
137374689;Name;2;10
631101664;Name;2;11
361480062;Name;2;12
23370070;Name;1;10
331024914;Name;1;18
238219537;Name;1;98
277980462;Name;2;73
122674868;Name;2;71
390060791;Name;2;25
102327647;Name;2;28
22003601;Name;1;32
312166777;Name;1;37
462371319;Name;1;41
133671478;Name;2;46
421176854;Name;2;57
5506562;Name;2;52
625408731;Name;2;64
329309066;Name;1;69
300100437;Name;1;78
7915262;Name;1;15
757055922;Name;2;23
250130790;Name;2;29
843178915;Name;2;11
385619686;Name;2;12
48454663;Name;1;13
20442734;Name;1;14
33279601;Name;1;15
22279374;Name;2;16
17807156;Name;2;17
92612172;Name;2;19
278531045;Name;2;10
65947781;Name;1;10
125356092;Name;1;10
236032810;Name;1;10
24158615;Name;2;10
121476812;Name;2;10
104450826;Name;2;11
336486375;Name;2;12
99101734;Name;1;10
87905617;Name;1;18
249637079;Name;1;98
274506896;Name;2;73
303543088;Name;2;71
55603;Name;2;25
277931337;Name;2;28
20437475;Name;1;32
399260243;Name;1;37
197511967;Name;1;41
78136452;Name;2;46
20467037;Name;2;57
28511534;Name;2;52
271271590;Name;2;64
437759956;Name;1;69
334484656;Name;1;78
378033788;Name;1;15
177708402;Name;2;23
430893090;Name;2;29
105600820;Name;2;11
78073758;Name;2;12
40872955;Name;1;13
34582672;Name;1;14
472775253;Name;1;15
533422557;Name;2;16
608094468;Name;2;17
626669752;Name;2;19
75997923;Name;2;10
9773412;Name;1;10
56964852;Name;1;10
271068328;Name;1;10
299707836;Name;2;10
325396924;Name;2;10
10702222;Name;2;11
53762904;Name;2;12
198898915;Name;1;10
6765602;Name;1;18
302199788;Name;1;98
588141484;Name;2;73
583722318;Name;2;71
41398473;Name;2;25
122321375;Name;2;28
221302387;Name;1;32
312215420;Name;1;37
216823005;Name;1;41
377713766;Name;2;46
246840763;Name;2;57
436563471;Name;2;52
393388776;Name;2;64
190734829;Name;1;69
121041353;Name;1;78
401388418;Name;1;15
271354844;Name;2;23
106430864;Name;2;29
352302630;Name;2;11
366193369;Name;2;12
56068612;Name;1;13
157649540;Name;1;14
280573916;Name;1;15
96326392;Name;2;16
33462000;Name;2;17
36448248;Name;2;19
132378020;Name;2;10
118972264;Name;1;10
159664701;Name;1;10
92601292;Name;1;10
135129528;Name;2;10
162153322;Name;2;10
157590750;Name;2;11
91977867;Name;2;12
499617632;Name;1;10
72295748;Name;1;18
470050144;Name;1;98
517201178;Name;2;73
475315159;Name;2;71
422410006;Name;2;25
406666815;Name;2;28
45823507;Name;1;32
14796217;Name;1;37
12651012;Name;1;41
34876896;Name;2;46
148243439;Name;2;57
118685847;Name;2;52
71561473;Name;2;64
38633269;Name;1;69
410702250;Name;1;78
402610872;Name;1;15
50001576;Name;2;23
28750068;Name;2;29
18472498;Name;2;11
24009585;Name;2;12
301881881;Name;1;13
3297161;Name;1;14
381434247;Name;1;15
74864558;Name;2;16
9891922;Name;2;17
157721013;Name;2;19
357564342;Name;2;10
90847512;Name;1;10
293929579;Name;1;10
568897643;Name;1;10
102481847;Name;2;10
596346749;Name;2;10
1009659266;Name;2;11
1241949528;Name;2;12
47585873;Name;1;10
21896227;Name;1;18
122083594;Name;1;98
367250035;Name;2;73
339608275;Name;2;71
864742332;Name;2;25
969464827;Name;2;28
925556762;Name;1;32
769820;Name;1;37
466363784;Name;1;41
1063488834;Name;2;46
44579949;Name;2;57
15308112;Name;2;52
105141681;Name;2;64
63643;Name;1;69
14112931;Name;1;78
241319016;Name;1;15
52678717;Name;2;23
126308247;Name;2;29
28516371;Name;2;11
1651621;Name;2;12
757109;Name;1;13
11178752;Name;1;14
86970078;Name;1;15
120017080;Name;2;16
15016065;Name;2;17
219518920;Name;2;19
62911261;Name;2;10
38876344;Name;1;10
115321715;Name;1;10
5343242;Name;1;10
269460366;Name;2;10
281695709;Name;2;10
313165512;Name;2;11
244504631;Name;2;12
5831552;Name;1;10
20099281;Name;1;18
95033733;Name;1;98
8076872;Name;2;73
88445970;Name;2;71
59073534;Name;2;25
10943;Name;2;28
91632939;Name;1;32
114443190;Name;1;37
14665220;Name;1;41
22750484;Name;2;46
5804752;Name;2;57
38170583;Name;2;52
93398485;Name;2;64
298079427;Name;1;69
1302051;Name;1;78
242739134;Name;1;15
43918390;Name;2;23
256254395;Name;2;29
142213781;Name;2;11
360039166;Name;2;12
23941227;Name;1;13
14393594;Name;1;14
230920368;Name;1;15
404898626;Name;2;16
316364341;Name;2;17
42432329;Name;2;19
5843932;Name;2;10
91108655;Name;1;10
88899794;Name;1;10
19389413;Name;1;10
403343262;Name;2;10
16499286;Name;2;10
34650496;Name;2;11
130093812;Name;2;12
43867054;Name;1;10
451559753;Name;1;18
97630578;Name;1;98
50122858;Name;2;73
25657719;Name;2;71
246275711;Name;2;25
9207512;Name;2;28
45865527;Name;1;32
50972499;Name;1;37
407439207;Name;1;41
29677326;Name;2;46
728901463;Name;2;57
478662027;Name;2;52
340990023;Name;2;64
602201866;Name;1;69
23739683;Name;1;78
26064084;Name;1;15
22759781;Name;2;23
17361344;Name;2;29
7991302;Name;2;11
20842787;Name;2;12
2397;Name;1;13
11221722;Name;1;14
314152424;Name;1;15
95225267;Name;2;16
8048672;Name;2;17
116076509;Name;2;19
82399074;Name;2;10
314027583;Name;1;10
124586661;Name;1;10
594583488;Name;1;10
177975122;Name;2;10
284064926;Name;2;10
326784479;Name;2;11
274916522;Name;2;12
495001386;Name;1;10
447512023;Name;1;18
514627516;Name;1;98
352270570;Name;2;73
347387485;Name;2;71
444423069;Name;2;25
616316417;Name;2;28
43138560;Name;1;32
387687568;Name;1;37
90494961;Name;1;41
104864471;Name;2;46
103646620;Name;2;57
497374496;Name;2;52
542528649;Name;2;64
269271515;Name;1;69
474395117;Name;1;78
297948326;Name;1;15
334888366;Name;2;23
313195519;Name;2;29
417943950;Name;2;11
202122863;Name;2;12
914358074;Name;1;13
480799424;Name;1;14
36833;Name;1;15
53453;Name;2;16
16198929;Name;2;17
14291506;Name;2;19
109536626;Name;2;10
29189589;Name;1;10
52060835;Name;1;10
13506582;Name;1;10
176785560;Name;2;10
364924774;Name;2;10
137715590;Name;2;11
73126157;Name;2;12
366077168;Name;1;10
309074985;Name;1;18
757147;Name;1;98
459395285;Name;2;73
273997830;Name;2;71
28385361;Name;2;25
85159880;Name;2;28
346648353;Name;1;32
9482442;Name;1;37
195895355;Name;1;41
158011086;Name;2;46
5463382;Name;2;57
15595854;Name;2;52
145643772;Name;2;64
275053137;Name;1;69
18658805;Name;1;78
23339675;Name;1;15
17965082;Name;2;23
7916832;Name;2;29
7934662;Name;2;11
11616922;Name;2;12
14391416;Name;1;13
154832440;Name;1;14
5957892;Name;1;15
7128662;Name;2;16
389442022;Name;2;17
28846711;Name;2;19
771378530;Name;2;10
15320887;Name;1;10
281486232;Name;1;10
159165088;Name;1;10
16464699;Name;2;10
293009270;Name;2;10
36468747;Name;2;11
16441577;Name;2;12
192373718;Name;1;10
233265313;Name;1;18
151167307;Name;1;98
71341812;Name;2;73
49129722;Name;2;71
75594993;Name;2;25
747197983;Name;2;28
125566171;Name;1;32
17808588;Name;1;37
171645906;Name;1;41
37704961;Name;2;46
8029852;Name;2;57
55513132;Name;2;52
596387039;Name;2;64
133385621;Name;1;69
16274526;Name;1;78
8157952;Name;1;15
256117248;Name;2;23
374528069;Name;2;29
405469384;Name;2;11
406885608;Name;2;12
407033352;Name;1;13
95656633;Name;1;14
147558045;Name;1;15
22753530;Name;2;16
434799316;Name;2;17
417685729;Name;2;19
181610889;Name;2;10
52443800;Name;1;10
239821102;Name;1;10
250836008;Name;1;10
150584941;Name;2;10
17673192;Name;2;10
22011876;Name;2;11
19334289;Name;2;12
142388490;Name;1;10
88252154;Name;1;18
17991843;Name;1;98
129167753;Name;2;73
241726730;Name;2;71
34827605;Name;2;25
239720307;Name;2;28
394568044;Name;1;32
269351546;Name;1;37
76957980;Name;1;41
403460647;Name;2;46
801983899;Name;2;57
149446058;Name;2;52
149578341;Name;2;64
100220618;Name;1;69
154434457;Name;1;78
20779933;Name;1;15
33649123;Name;2;23
68729657;Name;2;29
16612616;Name;2;11
305805901;Name;2;12
170604426;Name;1;13
326985848;Name;1;14
108073497;Name;1;15
403612932;Name;2;16
400988105;Name;2;17
68376166;Name;2;19
10158862;Name;2;10
243868579;Name;1;10
122302141;Name;1;10
140347128;Name;1;10
154127885;Name;2;10
19177149;Name;2;10
391247886;Name;2;11
162432434;Name;2;12
829085641;Name;1;10
149446263;Name;1;18
124714973;Name;1;98
70944163;Name;2;73
123369271;Name;2;71
149495104;Name;2;25
267114741;Name;2;28
501169744;Name;1;32
526980222;Name;1;37
368912006;Name;1;41
146743559;Name;2;46
794347268;Name;2;57
260375174;Name;2;52
158082661;Name;2;64
128341689;Name;1;69
194243707;Name;1;78
83538594;Name;1;15
18934334;Name;2;23
90943079;Name;2;29
143471740;Name;2;11
33463103;Name;2;12
284984239;Name;1;13
296471224;Name;1;14
193392764;Name;1;15
25486162;Name;2;16
406232148;Name;2;17
83317724;Name;2;19
399924580;Name;2;10
156923305;Name;1;10
